name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr,Lstar,Ustar,Lconf,Uconf,Uover,Lover,norm_estimate,std_estimate,model_name,sector_country,Jkt
Ln Pay,Universe,TRUE,GMM,Germany,0.2916,0.0042,0.7559,0.0035,0.283368,0.29983200000000004,0.74904,0.76276,0.29983200000000004,0.74904,-0.4643,132.65714285714284,"GMM, Universe","Germany, Universe",-30.012682215743467
Age 3-4,Universe,TRUE,GMM,Germany,-0.1026,0.0015,-0.007,0.0012,-0.10554,-0.09966,-0.009352,-0.004648,-0.09966,-0.009352,-0.09559999999999999,79.66666666666667,"GMM, Universe","Germany, Universe",-17.27831632653062
Age 5-7,Universe,TRUE,GMM,Germany,-0.1386,0.0017,-0.0233,0.0014,-0.141932,-0.135268,-0.026044,-0.020556,-0.135268,-0.026044,-0.1153,82.35714285714286,"GMM, Universe","Germany, Universe",-18.146244211970497
Age 8-12,Universe,TRUE,GMM,Germany,-0.1694,0.0018,-0.0473,0.0015,-0.172928,-0.165872,-0.05024,-0.044360000000000004,-0.165872,-0.05024,-0.12209999999999999,81.39999999999999,"GMM, Universe","Germany, Universe",-18.026530612244894
Age 13 or more,Universe,TRUE,GMM,Germany,-0.2183,0.0018,-0.1084,0.0015,-0.221828,-0.214772,-0.11134,-0.10546,-0.214772,-0.11134,-0.1099,73.26666666666667,"GMM, Universe","Germany, Universe",-16.124603174603173
N,Universe,TRUE,GMM,Germany,966084,NA,848871,NA,NA,NA,NA,NA,NA,NA,117213,NA,"GMM, Universe","Germany, Universe",NA
m2,Universe,TRUE,GMM,Germany,-4.13,NA,-2.51,NA,NA,NA,NA,NA,NA,NA,-1.62,NA,"GMM, Universe","Germany, Universe",NA
Sargan test,Universe,TRUE,GMM,Germany,2000,NA,3600,NA,NA,NA,NA,NA,NA,NA,-1600,NA,"GMM, Universe","Germany, Universe",NA
df of Sargan Test,Universe,TRUE,GMM,Germany,495,NA,495,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Universe","Germany, Universe",NA
P value of Sargan test,Universe,TRUE,GMM,Germany,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Universe","Germany, Universe",NA
AR(1) Coefficient,Universe,TRUE,System GMM MA,Germany,0.5268,0.0048,0.3701,0.006,0.5173920000000001,0.536208,0.35834,0.38186,0.38186,0.5173920000000001,0.15670000000000006,26.116666666666678,"System GMM MA, Universe","Germany, Universe",-6.482716836734712
Ln Pay,Universe,TRUE,System GMM MA,Germany,0.4202,0.0036,0.5349,0.0041,0.413144,0.427256,0.526864,0.5429360000000001,0.427256,0.526864,-0.11470000000000002,27.975609756097565,"System GMM MA, Universe","Germany, Universe",-6.628000387146707
Age 3-4,Universe,TRUE,System GMM MA,Germany,-0.0831,0.0013,-0.0594,0.0015,-0.08564799999999999,-0.080552,-0.06234,-0.05646,-0.080552,-0.06234,-0.023699999999999992,15.799999999999994,"System GMM MA, Universe","Germany, Universe",-3.3355311355311397
Age 5-7,Universe,TRUE,System GMM MA,Germany,-0.1105,0.0015,-0.0922,0.0018,-0.11344,-0.10756,-0.09572800000000001,-0.088672,-0.10756,-0.09572800000000001,-0.018299999999999997,10.166666666666664,"System GMM MA, Universe","Germany, Universe",-1.844557823129251
Age 8-12,Universe,TRUE,System GMM MA,Germany,-0.1351,0.0016,-0.1252,0.0019,-0.138236,-0.131964,-0.128924,-0.121476,-0.131964,-0.128924,-0.009899999999999992,5.21052631578947,"System GMM MA, Universe","Germany, Universe",-0.4464285714285693
Age 13 or more,Universe,TRUE,System GMM MA,Germany,-0.1802,0.0017,-0.185,0.0019,-0.183532,-0.176868,-0.188724,-0.181276,-0.181276,-0.183532,0.004799999999999999,2.5263157894736836,"System GMM MA, Universe","Germany, Universe",0.32071776078852676
N,Universe,TRUE,System GMM MA,Germany,966084,NA,848871,NA,NA,NA,NA,NA,NA,NA,117213,NA,"System GMM MA, Universe","Germany, Universe",NA
m2,Universe,TRUE,System GMM MA,Germany,-11.69,NA,19.03,NA,NA,NA,NA,NA,NA,NA,-30.72,NA,"System GMM MA, Universe","Germany, Universe",NA
Sargan test,Universe,TRUE,System GMM MA,Germany,2500,NA,3100,NA,NA,NA,NA,NA,NA,NA,-600,NA,"System GMM MA, Universe","Germany, Universe",NA
df of Sargan Test,Universe,TRUE,System GMM MA,Germany,494,NA,494,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM MA, Universe","Germany, Universe",NA
P value of Sargan test,Universe,TRUE,System GMM MA,Germany,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM MA, Universe","Germany, Universe",NA
AR(1) Coefficient,Universe,TRUE,System GMM,Germany,0.614,0.0027,0.1883,0.0021,0.608708,0.619292,0.184184,0.192416,0.192416,0.608708,0.42569999999999997,202.71428571428572,"System GMM, Universe","Germany, Universe",-44.95108519598324
Ln Pay,Universe,TRUE,System GMM,Germany,0.3553,0.002,0.6599,0.0014,0.35138,0.35922,0.6571560000000001,0.662644,0.35922,0.6571560000000001,-0.30460000000000004,217.5714285714286,"System GMM, Universe","Germany, Universe",-46.14533527696835
Age 3-4,Universe,TRUE,System GMM,Germany,-0.0934,0.0013,-0.0292,0.0011,-0.09594799999999999,-0.090852,-0.031356,-0.027044,-0.090852,-0.031356,-0.0642,58.36363636363635,"System GMM, Universe","Germany, Universe",-12.736406450692172
Age 5-7,Universe,TRUE,System GMM,Germany,-0.1266,0.0014,-0.0512,0.0011,-0.129344,-0.123856,-0.053356,-0.049044000000000004,-0.123856,-0.053356,-0.0754,68.54545454545453,"System GMM, Universe","Germany, Universe",-14.597965809700517
Age 8-12,Universe,TRUE,System GMM,Germany,-0.1545,0.0015,-0.0791,0.0011,-0.15744,-0.15156,-0.08125600000000001,-0.076944,-0.15156,-0.08125600000000001,-0.0754,68.54545454545453,"System GMM, Universe","Germany, Universe",-14.130364873222
Age 13 or more,Universe,TRUE,System GMM,Germany,-0.2012,0.0015,-0.14,0.0011,-0.20414,-0.19826,-0.142156,-0.13784400000000002,-0.19826,-0.142156,-0.06119999999999998,55.63636363636361,"System GMM, Universe","Germany, Universe",-11.276314162028475
N,Universe,TRUE,System GMM,Germany,966084,NA,848871,NA,NA,NA,NA,NA,NA,NA,117213,NA,"System GMM, Universe","Germany, Universe",NA
m2,Universe,TRUE,System GMM,Germany,-8.83,NA,19.49,NA,NA,NA,NA,NA,NA,NA,-28.32,NA,"System GMM, Universe","Germany, Universe",NA
Sargan test,Universe,TRUE,System GMM,Germany,2800,NA,4500,NA,NA,NA,NA,NA,NA,NA,-1700,NA,"System GMM, Universe","Germany, Universe",NA
df of Sargan Test,Universe,TRUE,System GMM,Germany,526,NA,526,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Universe","Germany, Universe",NA
P value of Sargan test,Universe,TRUE,System GMM,Germany,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Universe","Germany, Universe",NA
AR(1) Coefficient,Universe,TRUE,OLS,Germany,0.4143,8e-4,0.443,7e-4,0.412732,0.415868,0.441628,0.444372,0.415868,0.441628,-0.028700000000000003,41.00000000000001,"OLS, Universe","Germany, Universe",-8.801020408163286
Ln Pay,Universe,TRUE,OLS,Germany,0.5143,7e-4,0.4629,6e-4,0.5129279999999999,0.515672,0.46172399999999997,0.464076,0.464076,0.5129279999999999,0.0514,85.66666666666667,"OLS, Universe","Germany, Universe",-19.28680758017456
Age 3-4,Universe,TRUE,OLS,Germany,-0.0642,0.0016,-0.0695,0.0017,-0.067336,-0.06106399999999999,-0.07283200000000001,-0.066168,-0.066168,-0.067336,0.005300000000000013,3.1176470588235374,"OLS, Universe","Germany, Universe",0.180747298919566
Age 5-7,Universe,TRUE,OLS,Germany,-0.0891,0.0016,-0.1066,0.0017,-0.092236,-0.085964,-0.109932,-0.103268,-0.103268,-0.092236,0.0175,10.294117647058824,"OLS, Universe","Germany, Universe",-1.70719537815126
Age 8-12,Universe,TRUE,OLS,Germany,-0.1109,0.0016,-0.1324,0.0017,-0.114036,-0.107764,-0.135732,-0.129068,-0.129068,-0.114036,0.02149999999999999,12.647058823529408,"OLS, Universe","Germany, Universe",-2.3261929771908743
